id,category,subtype,korean_source,analytic_sentence,native_v2_1_sentence,design_notes
P2-COG-001,cognition,know-prs,나는 그것을 안다,나 그것 느-알-닌-온.,나 그것 느알닌온.,experiencer=ABS(무표). 알다=stative → -닌- 필수
P2-COG-002,cognition,know-neg,나는 그것을 모른다,나 그것 알-아 느-몰-닌-온.,나 그것 알아 느몰닌온.,NEG.AUX 몰- with STAT
P2-COG-003,cognition,see-prs,나는 산을 본다,나 산 느-보-리-온.,나 산 느보련.,see=dynamic → -리- IPFV 선택적. experiencer=ABS
P2-COG-004,cognition,see-past,나는 어제 그를 보았다,나 그 머-보-칼-온.,나 그 머보칸.,PST+TEL. experiencer=ABS
P2-COG-005,cognition,hear-prs,나는 소리를 듣는다,나 소리 느-듣-리-온.,나 소리 느듣련.,듣다=dynamic perception. experiencer=ABS
P2-COG-006,cognition,hear-hearsay,비가 온다고 듣는다,비 느-오-온=맬 나 느-듣-온.,비 느오온맬 나 느듣온.,hearsay + cognition verb
P2-COG-007,cognition,feel-prs,나는 바람을 느낀다,나 바람 느-느끼-리-온.,나 바람 느느끼련.,느끼다=dynamic. experiencer=ABS
P2-COG-008,cognition,know-topic,그 일은 안다,그 일=흔 나 느-알-닌-온.,그 일흔 나 느알닌온.,topic + cognition
P2-COG-009,cognition,see-wh,누구를 보느냐,누구 느-보-리-연.,누구 느보리연.,WH.Q -연 첫 사용. 의문사=ABS
P2-COG-010,cognition,know-yn,너는 그것을 아느냐,너 그것 느-알-닌-언.,너 그것 느알닌언.,Y/N.Q -언 첫 사용
P2-EMO-001,emotion,like-prs,나는 음악이 좋다,나 음악 느-좋-닌-온.,나 음악 느좋닌온.,experiencer=ABS. 좋다=stative → -닌- 필수. stimulus=ABS(무표)
P2-EMO-002,emotion,dislike-prs,나는 비가 싫다,나 비 느-싫-닌-온.,나 비 느싫닌온.,experiencer=ABS. 싫다=stative
P2-EMO-003,emotion,fear-prs,나는 어둠이 두렵다,나 어둠 느-두렵-닌-온.,나 어둠 느두렵닌온.,experiencer=ABS. 두렵다=stative
P2-EMO-004,emotion,want-prs,나는 물을 원한다,나 물 느-원하-리-온.,나 물 느원하련.,원하다=semi-dynamic. experiencer=ABS. IPFV 선택
P2-EMO-005,emotion,fear-past,나는 어제 두려웠다,나 머-두렵-닌-온.,나 머두렵닌온.,PST+STAT. experiencer=ABS
P2-EMO-006,emotion,like-neg,나는 그것이 안 좋다,나 그것 좋-아 느-몰-닌-온.,나 그것 좋아 느몰닌온.,NEG + stative emotion
P2-EMO-007,emotion,want-cond,네가 원하면 준다,너 느-원하-살 나-악 느-주-온.,너 느원하살 나악 느주온.,COND -살 첫 사용. experiencer=ABS in condition
P2-EMO-008,emotion,like-topic,음악은 좋다,음악=흔 나 느-좋-닌-온.,음악흔 나 느좋닌온.,topic + emotion
P2-CHG-001,change,become-prs,물이 얼음이 된다,물 얼음 느-되-리-온.,물 얼음 느되련.,되다=inchoative. S=ABS. result=ABS(bare)
P2-CHG-002,change,grow-prs,나무가 자란다,나무 느-자라-리-온.,나무 느자라련.,자동사. S=ABS
P2-CHG-003,change,dry-past,옷이 말랐다,옷 머-마르-칼-온.,옷 머마르칸.,PST+TEL. 자동사
P2-CHG-004,change,change-prs,날씨가 변한다,날씨 느-변하-리-온.,날씨 느변하련.,자동사 상태변화
P2-CHG-005,change,become-past,그가 선생이 되었다,그 선생 머-되-칼-온.,그 선생 머되칸.,PST+TEL 되다
P2-CHG-006,change,grow-hab,나무는 늘 자란다,나무=흔 느-자라-논-온.,나무흔 느자라논.,HAB + change
P2-CHG-007,change,dry-cond,옷이 마르면 간다,옷 느-마르-살 나 느-가-온.,옷 느마르살 나 느가온.,COND -살 + change verb
P2-CHG-008,change,become-neg,물이 얼음이 안 된다,물 얼음 되-아 느-몰-온.,물 얼음 되아 느몰온.,NEG + inchoative
P2-POS-001,possession,have-prs,나는 책을 갖고 있다,나 책 느-갖-닌-온.,나 책 느갖닌온.,갖다=stative possession. possessor=ABS. -닌- 필수
P2-POS-002,possession,have-neg,나는 돈이 없다,나 돈=복.,나 돈복.,EXIST.NEG for possession. 소유부정=존재부정
P2-POS-003,possession,have-past,나는 어제 책을 갖고 있었다,나 책 머-갖-닌-온.,나 책 머갖닌온.,PST+STAT possession
P2-POS-004,possession,belong-prs,이 책은 나에게 속한다,이 책=흔 나-디 느-속하-닌-온.,이 책흔 나디 느속하닌온.,속하다=stative. goal/possessor에 -디(FRC) 사용
P2-POS-005,possession,have-yn,너는 책을 갖고 있느냐,너 책 느-갖-닌-언.,너 책 느갖닌언.,Y/N.Q possession
P2-POS-006,possession,have-topic,돈은 있다,돈=흔 느-있-닌-온.,돈흔 느있닌온.,topic + existential (positive)
P2-CAUS-001,causation,make-go,나는 그를 가게 한다,나-악 그 느-가-모 느-둘-온.,나악 그 느가모 느둘온.,COMP -모 + 둘-(CAUS). causer=ERG
P2-CAUS-002,causation,make-eat,나는 아이에게 밥을 먹게 한다,나-악 아이-디 밥 느-먹-모 느-둘-온.,나악 아이디 밥 느먹모 느둘온.,causee에 -디(FRC). theme=ABS(bare)
P2-CAUS-003,causation,make-open,나는 그에게 문을 열게 했다,나-악 그-디 문 느-열-모 머-둘-칼-온.,나악 그디 문 느열모 머둘칸.,PST+TEL on 둘-. complement은 DEF
P2-CAUS-004,causation,make-speak,나는 아이에게 말하게 한다,나-악 아이 느-말-모 느-둘-온.,나악 아이 느말모 느둘온.,intransitive causative. 말하-=자동 → causee=ABS(bare). cf. CAUS-001
P2-CAUS-005,causation,make-go-neg,나는 그를 안 가게 한다,나-악 그 가-아 느-몰-모 느-둘-온.,나악 그 가아 느몰모 느둘온.,NEG inside complement
P2-CAUS-006,causation,make-eat-past,나는 어제 아이에게 밥을 먹게 했다,나-악 아이-디 밥 느-먹-모 머-둘-칼-온.,나악 아이디 밥 느먹모 머둘칸.,"PST on matrix, DEF on complement"
P2-CAUS-007,causation,make-go-cond,네가 그를 가게 하면 말한다,너-악 그 느-가-모 느-둘-살 나 느-말-온.,너악 그 느가모 느둘살 나 느말온.,causative + conditional
P2-CAUS-008,causation,make-know,나는 그에게 그것을 알게 한다,나-악 그-디 그것 느-알-모 느-둘-온.,나악 그디 그것 느알모 느둘온.,causative + cognition (알다 in complement)
P2-CMP-001,comparison,bigger,나는 너보다 크다,나 너-테 느-크-닌-온.,나 너테 느크닌온.,comparison standard=-테(LOC). experiencer=ABS. 크다=stative
P2-CMP-002,comparison,faster,그는 나보다 빠르다,그 나-테 느-빠르-닌-온.,그 나테 느빠르닌온.,comparison with -테
P2-CMP-003,comparison,same,나는 너와 같다,나 너-테 느-같-닌-온.,나 너테 느같닌온.,same/equal uses -테 too
P2-CMP-004,comparison,different,이것은 그것과 다르다,이것=흔 그것-테 느-다르-닌-온.,이것흔 그것테 느다르닌온.,different + topic
P2-CMP-005,comparison,better,이 길이 저 길보다 낫다,이 길=흔 저 길-테 느-낫-닌-온.,이 길흔 저 길테 느낫닌온.,낫다=stative comparison
P2-CMP-006,comparison,bigger-yn,네가 나보다 크냐,너 나-테 느-크-닌-언.,너 나테 느크닌언.,Y/N.Q comparison
P2-EXT-001,extended-transfer,teach-prs,나는 아이에게 글을 가르친다,나-악 아이-디 글 느-가르치-리-온.,나악 아이디 글 느가르치련.,"ditransitive. agent=ERG, recipient=-디, theme=ABS"
P2-EXT-002,extended-transfer,teach-past,나는 어제 아이에게 글을 가르쳤다,나-악 아이-디 글 머-가르치-칼-온.,나악 아이디 글 머가르치칸.,PST+TEL teaching
P2-EXT-003,extended-transfer,show-prs,나는 너에게 길을 보여준다,나-악 너-디 길 느-보-모 느-둘-온.,나악 너디 길 느보모 느둘온.,"보여주다를 사역 구문으로 분석. causer=ERG, causee=-디(타동 보-의 ABS=길이 ABS 차지), theme=ABS"
P2-EXT-004,extended-transfer,tell-prs,나는 그에게 이름을 알려준다,나-악 그-디 이름 느-알-모 느-둘-온.,나악 그디 이름 느알모 느둘온.,"알려주다를 사역 구문으로 분석. 알-=인지(타동) → causee=-디, theme=ABS"
