matrix_id,construction,base_frame,relative_head,head_marking,rc_internal_retention,matrix_case_on_head,allowed,accepted_examples,negative_controls,decision,lint_focus
XCM-001,core transitive baseline,A-스 P-∅ V=FINAL,none,,,,YES,RC3-0011;RC3-0012;RC3-0035;RC3-0038a;RC3-TXT-0001,RC3-0013;RC3-0038c,"A -스 is required whenever the lexical frame is transitive; aspect, modality, negation, and state do not delete A.",ERG_A_REQUIRED;VALENCY_PRESERVATION
XCM-002,possessive NP inside clause,POSSESSOR HEAD-CASE,,head receives external case; possessor is bare,,HEAD-∅ for S/P; HEAD-스 for A,YES,RC3-0096;RC3-0097;RC3-0100;RC3-0109,RC3-0101;RC3-0102;RC3-0103;RC3-0104;RC3-0105,Possession is bare juxtaposition; =겨 is not a possessive linker and possessor does not take ERG as genitive.,POSSESSOR_PRECEDES_HEAD;FRC_NOT_POSSESSIVE_LINKER;HEAD_CASE_BY_CLAUSE_ROLE
XCM-003,ordinary ditransitive baseline,A-스 THEME-∅ RECIPIENT-∅=겨 코레=루,none,,theme overt; recipient overt with =겨,,YES,RC3-0106;RC3-0145,RC3-0113;RC3-0152,Indirective alignment is maintained: theme is ABS and recipient is =겨. Transfer omission remains out of public core.,DITRANSITIVE_INDIRECTIVE_BASE;THEME_ABS;RECIPIENT_FRC;TRANSFER_OMISSION_REJECT
XCM-004,ordinary theme P-gap relative,A-스 RECIPIENT-∅=겨 코레=울 THEME-∅,THEME/P,bare ABS if matrix S/P; external case by matrix role,A retained; recipient retained with =겨; theme gapped,HEAD-∅ in examples; compatible with matrix P under outer verb,YES,RC3-0107;RC3-0108;RC3-0109;RC3-0148,RC3-0110;RC3-0111;RC3-0114,"Theme/P can be the head; the theme is not resumed inside the relative clause, and the head does not receive =겨 merely because it is relativized.",THEME_P_GAP_RELATIVE;NO_THEME_RESUMPTION;HEAD_AS_THEME_NOT_FRC
XCM-005,presentation theme-head relative,A-스 INTERFACE-∅=겨 PRED-겨=울 THEME-∅,THEME/P,bare ABS if matrix S/P,A retained; interface retained inside RC with =겨,HEAD-∅ in current examples,YES,RC3-0116;RC3-0136,RC3-0117,"In presentation/mediated-speech frames, theme-head relatives keep the interface NP inside the relative clause with =겨.",THEME_P_GAP_PRESENTATION;INTERFACE_FRC_RETENTION;THEME_HEAD_BARE_ABS
XCM-006,FRC/interface-head relative,A-스 THEME-∅ PRED-겨=울 INTERFACE-CASE=겨,INTERFACE/FRC participant,head-retained =겨 over the head’s matrix core case,A retained; theme retained; interface gapped inside RC,HEAD-∅=겨 for S/P; HEAD-스=겨 for A if needed,YES,RC3-0134;RC3-0135;RC3-0137;RC3-0138,RC3-0139;RC3-0140;RC3-0141;RC3-0142;RC3-0143,"Interface relatives use head-retention with =겨. Bare head, A omission, interface resumptive, missing predicate -겨, and case-after-clitic are rejected.",FRC_INTERFACE_HEAD_RETENTION;INTERFACE_HEAD_REQUIRES_FRC_RETENTION;NO_RESUMPTIVE_INTERFACE_NP;CASE_BEFORE_CLITIC
XCM-007,ordinary recipient-head relative,A-스 THEME-∅ 코레=울 RECIPIENT-CASE=겨,ordinary recipient/addressee of 코레-,head-retained =겨 over the head’s matrix core case,A retained; theme retained; recipient gapped inside RC,HEAD-∅=겨 for S/P; HEAD-스=겨 for A,"YES, narrow",RC3-0144;RC3-0146;RC3-0147,RC3-0149;RC3-0150;RC3-0151;RC3-0152;RC3-0153;RC3-0154,Ordinary recipient-head relatives are now allowed only with head-retained =겨 and overt theme inside the relative clause.,DITRANSITIVE_RECIPIENT_HEAD_RETENTION;THEME_OVERT_INSIDE_RC;RECIPIENT_HEAD_REQUIRES_FRC_RETENTION;MATRIX_A_HEAD_ERG_PLUS_FRC
XCM-008,ERG+=겨 boundary and distinct-host multiple FRC,A-스=겨 P-∅ V=루 / A-스=겨 THEME-∅ RECIP=겨 코레=루,,case before clitic on the same host,,"A host must be -스=겨, not =겨-스 or bare =겨",YES for distinct hosts; NO for duplicate same-host =겨,RC3-0118;RC3-0122;RC3-0137,RC3-0119;RC3-0120;RC3-0121;RC3-0123;RC3-0124;RC3-0143;RC3-0154,=겨 never replaces core case. Multiple =겨 is allowed only on distinct hosts; core case precedes clitic on each host.,CORE_CASE_BEFORE_CLITIC;DISTINCT_HOST_MULTIPLE_FRC_ALLOWED;NO_CASE_AFTER_FRC;FRC_NOT_ERG
XCM-009,prohibitive and final-slot boundary,ROOT-CNEG NEG=IMP,,,,overt transitive addressee A must be -스,YES,RC3-0125;RC3-0128;RC3-0129;RC3-0157,RC3-0126;RC3-0127;RC3-0130;RC3-0131;RC3-0132;RC3-0158;RC3-0159,Prohibitive uses ordinary connegative plus NEG with =얀. Positive transitive imperative preserves overt addressee A=-스. Edge clitics =헌/=두 are attested after declarative =루 only in RC3.9 public core.,PROHIBITIVE_CNEG_NEG_IMP;POSITIVE_TRANSITIVE_IMP_ERG;FINAL_SLOT_SINGLETON;FINAL_EDGE_DECL_ONLY;POT_ON_NEG_AUX_REJECT
XCM-010,WHQ alignment cross-check,WH.A-스 P-∅ V=셴,none,WH.PERSON receives ERG -스 when filling A,N/A,N/A,YES,RC3-0155,RC3-0156;RC3-0094;RC3-0095,"WHQ does not suspend core alignment. A-role WH forms take -스, and WH clauses close with =셴 rather than =호 or =루.",WH_A_ERG_REQUIRED;WHQ_FINAL_REQUIRED;WHQ_ALIGNMENT
