text_example_id,text,segment,block,sentence_no,status,native,analytic,gloss,free_translation_ko,rules_tested,linked_issue,notes
RC3-TXT-0001,A,A-1a,A-1,1,ACCEPT,아누스 치세 열루.,아누-스 치세-∅ 열=루.,Anu-ERG house-ABS open=DECL.,아누가 집을 연다.,TRANSITIVE_VALENCY;ERG_A_REQUIRED;TEXT_L1_DOUBLE_ABS_SCAN;CLITIC_NO_ALLO,I-001;I-002,"기본 타동절. A는 -스, P는 -∅로 유지한다."
RC3-TXT-0002,A,A-1b,A-1,2,ACCEPT,치세 열누루.,치세-∅ 열-누=루.,house-ABS open-CVG=DECL.,집이 열린다.,INTRANSITIVE_NU;ABS_S;CLITIC_NO_ALLO,I-001,-누가 있는 자동/중간 구문이므로 L1 이중절대격 경고 대상이 아니다.
RC3-TXT-0003,A,A-1c,A-1,3,ACCEPT,쿠안 치세 안 걸루.,쿠안-∅ 치세 안 걸=루.,1SG-ABS house inside walk=DECL.,나는 집 안에서 걷는다.,INTRANSITIVE_ABS;RELATION_NOUN_IN;PUBLIC_CORE_LEXICON,,자동사 S=ABS. 치세 안은 처소 명사구로 처리한다.
RC3-TXT-0004,A,A-2a,A-2,1,ACCEPT,쿠안스 열실 누카라루.,쿠안-스 열-실-∅ 누카라=루.,1SG-ERG open-PATH-ABS see=DECL.,나는 입구를 본다.,TRANSITIVE_VALENCY;ERG_A_REQUIRED;PUBLIC_CORE_LEXICON,I-001;I-002,누카라- 타동절. 가능/상태/시각술어가 A=-스를 삭제하지 않는다.
RC3-TXT-0005,A,A-2b,A-2,2,ACCEPT,쿠안스 열실 누카라굳믓겨 헨두겨루.,쿠안-스 열-실-∅ 누카라-굳-믓-∅=겨 헨두-겨=루.,1SG-ERG open-PATH-ABS see-CONDENSE-SINK-ABS=FRC say-PRED.FRC=DECL.,나는 시각 자료를 매개로 입구를 완충해서 설명한다.,TRANSITIVE_VALENCY;ERG_A_REQUIRED;FRC_MEDIATED_PREDICATION;PRED_FRC;TEXT_L1_DOUBLE_ABS_SCAN,I-002;I-006,연결 텍스트 등록 alias. 정본 예문은행 ID는 RC3-0133이다.
RC3-TXT-0006,B,B-1a,B-1,1,ACCEPT,아누스 헨두담 쿠안겨 코레루.,아누-스 헨두-담-∅ 쿠안-∅=겨 코레=루.,Anu-ERG say-CONTENT-ABS 1SG-ABS=FRC give=DECL.,아누가 말 내용을 나에게 전한다.,DITRANSITIVE_INDIRECTIVE;THEME_ABS;RECIP_FRC;ERG_A_REQUIRED,판정 항목,연결 텍스트 등록 alias. 정본 예문은행 ID는 RC3-0145이다.
RC3-TXT-0007,B,B-1b,B-1,2,ACCEPT,쿠안스 헨두담 에라만앋루.,쿠안-스 헨두-담-∅ 에라만-앋=루.,1SG-ERG say-CONTENT-ABS know-STATE=DECL.,나는 그 말 내용을 알고 있다.,I001_T_DECISION;TRANSITIVE_VALENCY;STATE_DOES_NOT_DELETE_A;TEXT_L1_DOUBLE_ABS_SCAN,I-001,I-001 T 판정에 따라 상태 -앋도 타동 A=-스를 보존한다.
RC3-TXT-0008,B,B-2,B-2,1,ACCEPT,쿠안스 열실 열헷무 니랏루.,쿠안-스 열-실-∅ 열-헷-무 니-랏=루.,1SG-ERG open-PATH-ABS open-POT-CNEG NEG-PAST=DECL.,나는 입구를 열 수 없었다.,NEG_POT_SCOPE;NEG_GT_POT;TRANSITIVE_VALENCY;ERG_A_REQUIRED,I-001;I-004,NEG>POT로 고정한다. 가능 -헷도 A=-스를 삭제하지 않는다.
RC3-TXT-0009,B,B-3a,B-3,1,ACCEPT,치세 열누랏담 쿠안스 헨두루.,치세-∅ 열-누-랏=담 쿠안-스 헨두=루.,house-ABS open-CVG-PAST=COMP 1SG-ERG say=DECL.,나는 집이 열렸다고 말한다.,COMP_COMPLEMENT;SPEECH_WITH_CONTENT;ERG_A_REQUIRED;TENSE_IN_COMP,I-002,보문 =담 내부의 시제 보존과 말하기 술어의 A=-스를 함께 시연한다. 이전 공개승격 단계: 관계절 시제 이슈와의 오귀속을 제거했다.
RC3-TXT-0010,B,B-3b,B-3,2,ACCEPT,치세 열누무 니랏담 에안스 헨두헤루.,치세-∅ 열-누-무 니-랏=담 에안-스 헨두-헤=루.,house-ABS open-CVG-CNEG NEG-PAST=COMP 2SG-ERG say-INFER=DECL.,너는 집이 열리지 않았다고 말하는 듯하다.,COMP_COMPLEMENT;CNEG_NEG_AUX;INFER_EVID;ERG_A_REQUIRED;TENSELESS_EVID_ALLOWED,I-002;I-004,보문 내부 연결부정과 주절 추론 표지가 분리된다. 주절 헨두-헤=루는 무시제 추론형이므로 번역은 “말하는 듯하다”로 둔다.
RC3-TXT-0011,C,C-1a,C-1,1,ACCEPT,누카라흐울 사름 치세 안 걸루.,누카라-흐=울 사름-∅ 치세 안 걸=루.,see-DIF.EMIT=ADN person-ABS house inside walk=DECL.,보이는 사람이 집 안에서 걷는다.,DIF_EMIT;ADN_RELATIVE;ABS_HEAD;TEXT_L3_DIF_GLOSS,I-003,누카라-흐=울은 EMIT 독법으로 고정한다.
RC3-TXT-0012,C,C-1b,C-1,2,ACCEPT,시눔스 누카라굳믓 누카라울 사름 헨두루.,시눔-스 누카라-굳-믓-∅ 누카라=울 사름-∅ 헨두=루.,3SG-ERG see-CONDENSE-SINK-ABS see=ADN person-ABS say=DECL.,그가 영상을 보는 사람이 말한다.,RELATIVE_CLAUSE_ERG_RESUMPTIVE;ERG_RETENTION;SPEECH_ONE_PLACE;PUBLIC_CORE_LEXICON,판정 항목;I-002,관계절 내부의 ERG 재개 전략과 주절 1항 speech root를 분리한다. 이전 공개승격 단계: P_GAP 태그 오기를 정정했다.
RC3-TXT-0013,D,D-1a,D-1,1,ACCEPT,헨두흐샘 쿠안 걸루.,헨두-흐=샘 쿠안-∅ 걸=루.,say-DIF.ANTIP=RSN 1SG-ABS walk=DECL.,말이 퍼졌기 때문에 나는 걷는다.,EDGE_SAEM_RSN;DIF_ANTIP;CLITIC_NO_ALLO;TEXT_L2_CLITIC_SCAN,I-003;I-005,=샘은 이유절 edge clitic이며 =앰으로 약화되지 않는다.
RC3-TXT-0014,D,D-1b,D-1,2,ACCEPT,치세 열누잠 쿠안 걸룩루.,치세-∅ 열-누=잠 쿠안-∅ 걸-룩=루.,house-ABS open-CVG=COND 1SG-ABS walk-FUT=DECL.,집이 열리면 나는 걸을 것이다.,EDGE_JAM_COND;COND_VS_SEQ;FUT_MAIN;TEXT_L2_CLITIC_SCAN,I-005,=잠은 조건절 edge clitic이고 =실 순차와 구별된다.
